Unique ID,Date Time,Venue,Postal Code,Game Type,Total buy in,Prize Pool,Rake,Prize Pool Ratio,Additional Info
334,1/25/2023 7:00:00 pm,Hon-Dah Casino,85935,NLH,40,30,10,0.75,No Limit Hold'em
335,1/25/2023 7:00:00 pm,Desert Diamond Casino,85305,NLH,60,50,10,0.8333333333333334,No Limit Hold'em
336,1/25/2023 7:00:00 pm,Gila River Casino - Lone Butte,85226,NLH,105,80,25,0.7619047619047619,No Limit Hold'em
337,1/25/2023 7:15:00 pm,Talking Stick Resort,85256,NLH,145,115,30,0.7931034482758621,No Limit Hold'em
338,1/26/2023 10:00:00 am,Desert Diamond Casino,85305,NLH,40,35,5,0.875,No Limit Hold'em
339,1/26/2023 11:00:00 am,Gila River Casino - Lone Butte,85226,NLH,65,46,19,0.7076923076923077,No Limit Hold'em
340,1/26/2023 11:15:00 am,Talking Stick Resort,85256,NLH,125,100,25,0.8,No-Limit Hold'em
341,1/26/2023 7:00:00 pm,Hon-Dah Casino,85935,NLO8,40,30,10,0.75,Omaha 8/B
342,1/26/2023 7:00:00 pm,Gila River Casino - Lone Butte,85226,NLH,105,80,25,0.7619047619047619,No Limit Hold'em
343,1/26/2023 7:15:00 pm,Talking Stick Resort,85256,NLH,145,115,30,0.7931034482758621,No Limit Hold'em
344,1/27/2023 11:00:00 am,Gila River Casino - Lone Butte,85226,NLH,65,46,19,0.7076923076923077,No Limit Hold'em
345,1/27/2023 11:15:00 am,Talking Stick Resort,85256,NLH,125,100,25,0.8,No-Limit Hold'em
346,1/27/2023 7:15:00 pm,Talking Stick Resort,85256,NLH,200,160,40,0.8,No Limit Hold'em
347,1/28/2023 11:00:00 am,Gila River Casino - Lone Butte,85226,NLH,150,115,35,0.7666666666666667,No Limit Hold'em Double Point Tournament
348,1/28/2023 11:15:00 am,Talking Stick Resort,85256,NLH,160,125,35,0.78125,No Limit Hold'em
349,1/28/2023 7:00:00 pm,Hon-Dah Casino,85935,NLH,30,20,10,0.6666666666666666,No Limit Hold'em
350,1/29/2023 11:00:00 am,Gila River Casino - Lone Butte,85226,NLH,125,100,25,0.8,No Limit Hold'em Sunday Brunch Tournament
351,1/29/2023 11:15:00 am,Talking Stick Resort,85256,NLH,200,160,40,0.8,No Limit Hold'em
352,1/29/2023 1:00:00 pm,Desert Diamond Casino,85305,NLH,60,50,10,0.8333333333333334,No Limit Hold'em Bounty
353,1/29/2023 7:00:00 pm,Hon-Dah Casino,85935,NLCRPI,30,20,10,0.6666666666666666,Crazy Pineapple Tournament
354,1/30/2023 10:00:00 am,Desert Diamond Casino,85305,NLH,40,35,5,0.875,No Limit Hold'em
355,1/30/2023 11:00:00 am,Gila River Casino - Lone Butte,85226,NLH,65,46,19,0.7076923076923077,No Limit Hold'em
356,1/30/2023 11:15:00 am,Talking Stick Resort,85256,NLH,125,100,25,0.8,No-Limit Hold'em
357,1/31/2023 11:00:00 am,Gila River Casino - Lone Butte,85226,NLH,65,46,19,0.7076923076923077,No Limit Hold'em
358,1/31/2023 11:15:00 am,Talking Stick Resort,85256,NLH,125,100,25,0.8,No-Limit Hold'em
359,1/31/2023 7:00:00 pm,Hon-Dah Casino,85935,M,40,30,10,0.75,"Mix (Hold'em, Omaha 8, Crazy Pineapple)"
360,1/31/2023 7:00:00 pm,Desert Diamond Casino,85305,NLH,60,55,5,0.9166666666666666,No Limit Hold'em
361,1/31/2023 7:15:00 pm,Talking Stick Resort,85256,NLH,200,160,40,0.8,No Limit Hold'em
362,2/01/2023 11:00:00 am,Gila River Casino - Lone Butte,85226,NLH,65,46,19,0.7076923076923077,No Limit Hold'em
