Unique ID,Date,Start time,location,Venue,Game type,Total buy in,Prize pool,rake,Guarantee
6007,,11:00am (12:00pm),Reno and Lake Tahoe,Atlantis Casino,NLH,$20,$15,$5,No Limit Hold'em
6008,,12:00pm,Reno and Lake Tahoe,Peppermill Casino,NLH,$245,$200,$45,No Limit Hold'em
6009,,12:00pm,Reno and Lake Tahoe,Grand Sierra Resort Casino,NLH,$50,$50,10% of total prize pool is set aside for poker staff,No Limit Hold'em
6010,,6:30pm,Reno and Lake Tahoe,Grand Sierra Resort Casino,NLH,$100,$100,10% of total prize pool is set aside for poker staff,No Limit Hold'em
6011,(1/15),11:00am,Reno and Lake Tahoe,Atlantis Casino,NLH,$20,$15,$5,No Limit Hold'em
6012,(1/15),12:00pm,Reno and Lake Tahoe,Carson Valley Inn,NLH,$30,$25,$5,No Limit Hold'em
6013,(1/15),12:00pm,Reno and Lake Tahoe,Peppermill Casino,NLH,$135,$100,$35,No Limit Hold'em
6014,(1/15),12:00pm,Reno and Lake Tahoe,Grand Sierra Resort Casino,NLH,$50,$50,10% of total prize pool is set aside for poker staff,No Limit Hold'em
6015,(1/15),6:30pm,Reno and Lake Tahoe,Grand Sierra Resort Casino,NLH,$50,$50,10% of total prize pool is set aside for poker staff,No Limit Hold'em
6016,(1/16),11:00am,Reno and Lake Tahoe,Atlantis Casino,NLH,$20,$15,$5,No Limit Hold'em
6017,(1/16),12:00pm,Reno and Lake Tahoe,Peppermill Casino,NLH,$135,$100,$35,No Limit Hold'em
6018,(1/16),6:30pm,Reno and Lake Tahoe,Grand Sierra Resort Casino,NLH,$50,$50,10% of total prize pool is set aside for poker staff,No Limit Hold'em
6019,(1/17),11:00am,Reno and Lake Tahoe,Atlantis Casino,NLH,$20,$15,$5,No Limit Hold'em
6020,(1/17),12:00pm,Reno and Lake Tahoe,Carson Valley Inn,NLH,$30,$25,$5,No Limit Hold'em
6021,(1/17),12:00pm,Reno and Lake Tahoe,Peppermill Casino,NLH,$135,$100,$35,No Limit Hold'em
6022,(1/17),6:00pm,Reno and Lake Tahoe,Carson Valley Inn,NLH,$30,$25,$5,No Limit Hold'em
6023,(1/17),6:30pm,Reno and Lake Tahoe,Grand Sierra Resort Casino,NLH,$50,$50,10% of total prize pool is set aside for poker staff,No Limit Hold'em
6024,(1/18),11:00am,Reno and Lake Tahoe,Atlantis Casino,NLH,$20,$15,$5,No Limit Hold'em
6025,(1/18),12:00pm,Reno and Lake Tahoe,Peppermill Casino,NLH,$135,$100,$35,No Limit Hold'em
6026,(1/18),6:00pm,Reno and Lake Tahoe,Peppermill Casino,NLH,$240,$200,$40,No Limit Hold'em Black Chip Bounty
6027,(1/18),6:30pm,Reno and Lake Tahoe,Grand Sierra Resort Casino,NLH,$50,$50,10% of total prize pool is set aside for poker staff,No Limit Hold'em
6028,(1/19),11:00am,Reno and Lake Tahoe,Atlantis Casino,NLH,$20,$15,$5,No Limit Hold'em
6029,(1/19),12:00pm,Reno and Lake Tahoe,Carson Valley Inn,NLH,$30,$25,$5,No Limit Hold'em
6030,(1/19),12:00pm,Reno and Lake Tahoe,Peppermill Casino,NLH,$135,$100,$35,No Limit Hold'em
6031,(1/19),6:00pm,Reno and Lake Tahoe,Carson Valley Inn,NLH,$30,$25,$5,No Limit Hold'em
6032,(1/19),6:30pm,Reno and Lake Tahoe,Grand Sierra Resort Casino,NLH,$50,$50,10% of total prize pool is set aside for poker staff,No Limit Hold'em
6033,(1/20),11:00am,Reno and Lake Tahoe,Atlantis Casino,NLH,$20,$15,$5,No Limit Hold'em
6034,(1/20),12:00pm,Reno and Lake Tahoe,Peppermill Casino,NLH,$135,$100,$35,No Limit Hold'em
